Timestamp;Time;Sensor1;Sensor2;Sensor3;Sensor4;Sensor5
1627887147,6349666;13:52:27 \ 02.08.2021;14,5;5,86;6,08;5,49;0,0
1627887148,655839;13:52:28 \ 02.08.2021;14,39;5,84;6,28;5,42;0,0
1627887149,6528027;13:52:29 \ 02.08.2021;14,54;5,84;6,1;5,48;0,31
1627887150,64728;13:52:30 \ 02.08.2021;14,71;5,84;6,17;5,45;0,09
1627887151,6364603;13:52:31 \ 02.08.2021;14,56;5,85;6,08;5,52;0,0
1627887152,634608;13:52:32 \ 02.08.2021;14,86;5,86;6,11;5,5;0,13
1627887153,644012;13:52:33 \ 02.08.2021;14,53;5,84;6,03;5,46;0,0
1627887154,6555393;13:52:34 \ 02.08.2021;14,66;5,93;6,11;5,51;0,13
1627887155,6592047;13:52:35 \ 02.08.2021;14,8;5,9;6,07;5,53;0,53
1627887156,6520674;13:52:36 \ 02.08.2021;14,37;5,81;6,03;5,51;0,04
1627887157,6406221;13:52:37 \ 02.08.2021;13,95;5,95;6,11;5,43;0,26
1627887158,6382556;13:52:38 \ 02.08.2021;14,55;5,84;6,11;5,45;0,0
1627887159,6351252;13:52:39 \ 02.08.2021;14,87;5,93;6,1;5,49;0,26
1627887160,6519547;13:52:40 \ 02.08.2021;14,81;5,83;6,1;5,62;0,0
1627887161,643474;13:52:41 \ 02.08.2021;14,63;5,86;6,06;5,51;0,17
1627887162,9881165;13:52:42 \ 02.08.2021;14,62;5,8;6,1;5,59;0,09
1627887163,6468568;13:52:43 \ 02.08.2021;14,34;5,8;6,09;5,42;0,09
1627887164,6372566;13:52:44 \ 02.08.2021;14,84;5,84;6,26;5,6;0,0
1627887165,6352165;13:52:45 \ 02.08.2021;14,74;5,84;6,08;5,48;0,0
1627887166,6352704;13:52:46 \ 02.08.2021;14,64;5,83;6,09;5,48;0,0
1627887167,6457338;13:52:47 \ 02.08.2021;14,43;5,84;6,11;5,49;0,0
1627887168,650849;13:52:48 \ 02.08.2021;14,39;5,86;6,14;5,64;0,0
1627887169,6382296;13:52:49 \ 02.08.2021;14,43;5,88;6,08;5,51;0,4
1627887170,6446288;13:52:50 \ 02.08.2021;14,59;5,84;6,25;5,66;0,0
1627887171,6334972;13:52:51 \ 02.08.2021;14,33;5,81;6,08;5,51;0,0
1627887172,643498;13:52:52 \ 02.08.2021;14,59;5,84;6,18;5,45;0,0
1627887173,6349533;13:52:53 \ 02.08.2021;14,74;5,85;6,1;5,48;0,0
1627887174,652182;13:52:54 \ 02.08.2021;14,56;5,89;6,07;5,6;0,0
1627887175,6559403;13:52:55 \ 02.08.2021;14,23;5,76;6,05;5,5;0,0
1627887176,6455545;13:52:56 \ 02.08.2021;14,2;5,87;6,14;5,46;0,71
1627887177,6532524;13:52:57 \ 02.08.2021;14,6;5,85;6,06;5,54;0,13
1627887178,6442342;13:52:58 \ 02.08.2021;14,63;5,84;6,06;5,46;0,53
1627887179,6352642;13:52:59 \ 02.08.2021;14,49;5,86;6,03;5,52;1,24
1627887180,6397955;13:53:00 \ 02.08.2021;14,18;5,92;6,07;5,5;0,04
1627887181,639367;13:53:01 \ 02.08.2021;14,44;5,82;6,07;5,45;0,09
1627887182,6602492;13:53:02 \ 02.08.2021;15,04;5,8;6,09;5,47;0,0
1627887183,6460392;13:53:03 \ 02.08.2021;14,38;5,78;6,11;5,51;0,09
1627887184,6624873;13:53:04 \ 02.08.2021;14,29;5,79;6,07;5,47;0,26
1627887185,6542273;13:53:05 \ 02.08.2021;14,86;5,86;6,08;5,59;0,0
1627887186,66404;13:53:06 \ 02.08.2021;14,74;5,82;6,08;5,45;0,0
1627887187,6594589;13:53:07 \ 02.08.2021;14,39;5,77;6,09;5,53;0,88
1627887188,6587257;13:53:08 \ 02.08.2021;14,44;5,85;6,09;5,62;0,18
1627887189,655705;13:53:09 \ 02.08.2021;14,65;5,8;6,11;5,48;0,0
1627887190,6660895;13:53:10 \ 02.08.2021;14,42;5,86;6,02;5,51;0,62
